alphabet_size,batch_size,hidden_dim,network_type,num_layers,num_trials,seq_length,use_gpu,mean_time,time_sd
40,40,32,lstm,2,50,1,True,0.0008376247622072697,2.4710173765210668e-05
40,40,32,lstm,2,50,1,False,0.0008802235964685679,7.0630658073513284e-06
40,60,32,lstm,1,50,1,True,0.0007882498856633902,2.661686368737494e-05
40,60,32,lstm,1,50,1,False,0.0006829935405403375,6.733317689953296e-06
40,60,32,lstm,2,50,1,True,0.0008528109546750784,1.4803473643999122e-05
40,60,32,lstm,2,50,1,False,0.0010567598417401314,5.658920440798559e-06
60,1,32,lstm,1,50,1,True,0.0007342235837131738,2.523435778808197e-05
60,1,32,lstm,1,50,1,False,0.00032933046109974386,6.952569963620916e-06
60,1,32,lstm,2,50,1,True,0.0007997679244726896,2.6337749523301618e-05
60,1,32,lstm,2,50,1,False,0.0004693200718611479,8.052803073715941e-06
60,5,32,lstm,1,50,1,True,0.0007465212047100067,2.599067455296064e-05
60,5,32,lstm,1,50,1,False,0.0003636698331683874,6.573675849511125e-06
60,5,32,lstm,2,50,1,True,0.0008094089291989803,2.4782098920776932e-05
60,5,32,lstm,2,50,1,False,0.0005231830757111311,7.1920562193433785e-06
60,10,32,lstm,1,50,1,True,0.0007518696039915085,2.8523544838024568e-05
60,10,32,lstm,1,50,1,False,0.00039332309737801554,6.423033055895284e-06
60,10,32,lstm,2,50,1,True,0.0008121020812541246,2.289763651923845e-05
60,10,32,lstm,2,50,1,False,0.0005727731343358755,6.846272754613856e-06
60,15,32,lstm,1,50,1,True,0.0007513904850929976,2.3577603560767447e-05
60,15,32,lstm,1,50,1,False,0.00042595156468451024,6.901771621670233e-06
60,15,32,lstm,2,50,1,True,0.0008213853556662798,2.6808020272759913e-05
60,15,32,lstm,2,50,1,False,0.0006273259781301022,7.970923195880514e-06
60,20,32,lstm,1,50,1,True,0.0007548657152801752,2.5301789664438213e-05
60,20,32,lstm,1,50,1,False,0.0004676313232630491,8.203238967991155e-06
60,20,32,lstm,2,50,1,True,0.0008216116018593311,2.1045332705525344e-05
60,20,32,lstm,2,50,1,False,0.0006845217477530241,8.663329558628717e-06
60,40,32,lstm,1,50,1,True,0.0007760163117200137,2.6324034247724767e-05
60,40,32,lstm,1,50,1,False,0.0005833860486745834,2.6545064119754344e-05
60,40,32,lstm,2,50,1,True,0.0008396499790251255,1.9827762787069614e-05
60,40,32,lstm,2,50,1,False,0.0008813174348324537,6.93006145764513e-06
60,60,32,lstm,1,50,1,True,0.0007871728483587504,1.9802303708881545e-05
60,60,32,lstm,1,50,1,False,0.000682060569524765,7.596097240325406e-06
60,60,32,lstm,2,50,1,True,0.0008562151156365871,2.16449196874281e-05
60,60,32,lstm,2,50,1,False,0.0010486903134733438,5.565021356617602e-06
80,1,32,lstm,1,50,1,True,0.0007259179931133986,2.49914060573526e-05
80,1,32,lstm,1,50,1,False,0.00033891269005835055,8.851635763021147e-06
80,1,32,lstm,2,50,1,True,0.0007889342773705721,2.482763592606032e-05
80,1,32,lstm,2,50,1,False,0.00047916067764163016,9.868007714997746e-06
80,5,32,lstm,1,50,1,True,0.0007439663726836443,2.8574822047570746e-05
80,5,32,lstm,1,50,1,False,0.0003845580201596022,7.819874312762772e-05
